,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
2,0,10.0,7.0,3.0,0.0,0.0,[[10.]],[[7.]],[[3.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
3,0,15.0,8.0,7.0,0.0,0.0,[[15.]],[[8.]],[[7.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
4,0,20.0,9.0,11.0,0.0,0.0,[[20.]],[[9.]],[[11.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
5,0,25.0,12.0,13.0,0.0,0.0,[[25.]],[[12.]],[[13.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
6,0,30.0,15.0,15.0,0.0,0.0,[[30.]],[[15.]],[[15.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
7,0,35.0,17.0,18.0,0.0,0.0,[[35.]],[[17.]],[[18.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
8,0,40.0,18.0,22.0,0.0,0.0,[[40.]],[[18.]],[[22.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
9,0,45.0,21.0,24.0,0.0,0.0,[[45.]],[[21.]],[[24.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
10,0,50.0,24.0,26.0,0.0,0.0,[[50.]],[[24.]],[[26.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
11,0,55.0,27.0,28.0,0.0,0.0,[[55.]],[[27.]],[[28.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
12,0,56.0,26.0,30.0,0.0,0.0,[[56.]],[[26.]],[[30.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
13,0,58.0,27.0,31.0,0.0,0.0,[[58.]],[[27.]],[[31.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
