,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,2.0,3.0,0.0,0.0,[[5.]],[[2.]],[[3.]],[[0.]],[[0.]],[[0.]],[[2.]],[[0.]],[[0.]],[[0.]]
2,0,10.0,6.0,4.0,0.0,0.0,[[10.]],[[6.]],[[4.]],[[0.]],[[0.]],[[0.]],[[3.55301037]],[[0.]],[[0.]],[[0.]]
3,0,15.0,10.0,5.0,0.0,0.0,[[15.]],[[10.]],[[5.]],[[0.]],[[0.]],[[0.]],[[4.56988419]],[[0.]],[[0.]],[[0.]]
4,0,20.0,14.0,6.0,0.0,0.0,[[20.]],[[14.]],[[6.]],[[0.]],[[0.]],[[0.]],[[5.39002677]],[[0.]],[[0.]],[[0.]]
5,0,25.0,18.0,7.0,0.0,0.0,[[25.]],[[18.]],[[7.]],[[0.]],[[0.]],[[0.]],[[6.09734545]],[[0.]],[[0.]],[[0.]]
6,0,30.0,22.0,8.0,0.0,0.0,[[30.]],[[22.]],[[8.]],[[0.]],[[0.]],[[0.]],[[6.72884834]],[[0.]],[[0.]],[[0.]]
7,0,35.0,25.0,10.0,0.0,0.0,[[35.]],[[25.]],[[10.]],[[0.]],[[0.]],[[0.]],[[7.16525669]],[[0.]],[[0.]],[[0.]]
8,0,40.0,30.0,10.0,0.0,0.0,[[40.]],[[30.]],[[10.]],[[0.]],[[0.]],[[0.]],[[7.83782063]],[[0.]],[[0.]],[[0.]]
9,0,45.0,34.0,11.0,0.0,0.0,[[45.]],[[34.]],[[11.]],[[0.]],[[0.]],[[0.]],[[8.33628015]],[[0.]],[[0.]],[[0.]]
10,0,50.0,39.0,11.0,0.0,0.0,[[50.]],[[39.]],[[11.]],[[0.]],[[0.]],[[0.]],[[8.91973521]],[[0.]],[[0.]],[[0.]]
11,0,55.0,44.0,11.0,0.0,0.0,[[55.]],[[44.]],[[11.]],[[0.]],[[0.]],[[0.]],[[9.46686665]],[[0.]],[[0.]],[[0.]]
12,0,58.0,46.0,12.0,0.0,0.0,[[58.]],[[46.]],[[12.]],[[0.]],[[0.]],[[0.]],[[9.88254868]],[[0.]],[[0.]],[[0.]]
13,0,59.0,47.0,12.0,0.0,0.0,[[59.]],[[47.]],[[12.]],[[0.]],[[0.]],[[0.]],[[10.37853451]],[[0.]],[[0.]],[[0.]]
14,0,60.0,48.0,12.0,0.0,0.0,[[60.]],[[48.]],[[12.]],[[0.]],[[0.]],[[0.]],[[10.85167072]],[[0.]],[[0.]],[[0.]]
