,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,5.0,0.0,0.0,0.0,[[5.]],[[5.]],[[0.]],[[0.]],[[0.]],[[0.]],[[4.68694136]],[[0.]],[[0.]],[[0.]]
2,0,10.0,10.0,0.0,0.0,0.0,[[10.]],[[10.]],[[0.]],[[0.]],[[0.]],[[0.]],[[6.53103348]],[[0.]],[[0.]],[[0.]]
3,0,15.0,14.0,1.0,0.0,0.0,[[15.]],[[14.]],[[1.]],[[0.]],[[0.]],[[0.]],[[7.68018693]],[[1.]],[[0.]],[[0.]]
4,0,20.0,19.0,1.0,0.0,0.0,[[20.]],[[19.]],[[1.]],[[0.]],[[0.]],[[0.]],[[8.90423992]],[[1.]],[[0.]],[[0.]]
5,0,25.0,24.0,1.0,0.0,0.0,[[25.]],[[24.]],[[1.]],[[0.]],[[0.]],[[0.]],[[9.9757385]],[[1.]],[[0.]],[[0.]]
6,0,30.0,28.0,2.0,0.0,0.0,[[30.]],[[28.]],[[2.]],[[0.]],[[0.]],[[0.]],[[10.75486815]],[[2.]],[[0.]],[[0.]]
7,0,35.0,31.0,4.0,0.0,0.0,[[35.]],[[31.]],[[4.]],[[0.]],[[0.]],[[0.]],[[11.30342932]],[[2.9]],[[0.]],[[0.]]
8,0,40.0,35.0,5.0,0.0,0.0,[[40.]],[[35.]],[[5.]],[[0.]],[[0.]],[[0.]],[[11.9952999]],[[3.24482759]],[[0.]],[[0.]]
9,0,45.0,39.0,6.0,0.0,0.0,[[45.]],[[39.]],[[6.]],[[0.]],[[0.]],[[0.]],[[12.6488748]],[[3.55301037]],[[0.]],[[0.]]
10,0,50.0,43.0,7.0,0.0,0.0,[[50.]],[[43.]],[[7.]],[[0.]],[[0.]],[[0.]],[[13.26990852]],[[3.83446184]],[[0.]],[[0.]]
11,0,55.0,48.0,7.0,0.0,0.0,[[55.]],[[48.]],[[7.]],[[0.]],[[0.]],[[0.]],[[14.0071122]],[[3.83446184]],[[0.]],[[0.]]
12,0,55.0,47.0,8.0,0.0,0.0,[[55.]],[[47.]],[[8.]],[[0.]],[[0.]],[[0.]],[[14.5697752]],[[4.09525463]],[[0.]],[[0.]]
13,0,55.0,46.0,9.0,0.0,0.0,[[55.]],[[46.]],[[9.]],[[0.]],[[0.]],[[0.]],[[15.1113094]],[[4.33943969]],[[0.]],[[0.]]
