,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,2.0,3.0,0.0,0.0,[[5.]],[[2.]],[[3.]],[[0.]],[[0.]],[[0.]],[[5.]],[[2.5]],[[0.]],[[0.]]
2,0,10.0,4.0,6.0,0.0,0.0,[[10.]],[[4.]],[[6.]],[[0.]],[[0.]],[[0.]],[[6.48965517]],[[3.55301037]],[[0.]],[[0.]]
3,0,15.0,7.0,8.0,0.0,0.0,[[15.]],[[7.]],[[8.]],[[0.]],[[0.]],[[0.]],[[8.19050926]],[[4.09525463]],[[0.]],[[0.]]
4,0,20.0,10.0,10.0,0.0,0.0,[[20.]],[[10.]],[[10.]],[[0.]],[[0.]],[[0.]],[[9.57741623]],[[4.56988419]],[[0.]],[[0.]]
5,0,25.0,13.0,12.0,0.0,0.0,[[25.]],[[13.]],[[12.]],[[0.]],[[0.]],[[0.]],[[10.78005354]],[[4.9975327]],[[0.]],[[0.]]
6,0,30.0,18.0,12.0,0.0,0.0,[[30.]],[[18.]],[[12.]],[[0.]],[[0.]],[[0.]],[[12.52270249]],[[4.9975327]],[[0.]],[[0.]]
7,0,35.0,21.0,14.0,0.0,0.0,[[35.]],[[21.]],[[14.]],[[0.]],[[0.]],[[0.]],[[13.45769667]],[[5.39002677]],[[0.]],[[0.]]
8,0,40.0,24.0,16.0,0.0,0.0,[[40.]],[[24.]],[[16.]],[[0.]],[[0.]],[[0.]],[[14.33051337]],[[5.75490896]],[[0.]],[[0.]]
9,0,45.0,27.0,18.0,0.0,0.0,[[45.]],[[27.]],[[18.]],[[0.]],[[0.]],[[0.]],[[15.15218517]],[[6.09734545]],[[0.]],[[0.]]
10,0,50.0,31.0,19.0,0.0,0.0,[[50.]],[[31.]],[[19.]],[[0.]],[[0.]],[[0.]],[[16.18189995]],[[6.26135124]],[[0.]],[[0.]]
11,0,55.0,36.0,19.0,0.0,0.0,[[55.]],[[36.]],[[19.]],[[0.]],[[0.]],[[0.]],[[17.38223718]],[[6.26135124]],[[0.]],[[0.]]
12,0,58.0,39.0,19.0,0.0,0.0,[[58.]],[[39.]],[[19.]],[[0.]],[[0.]],[[0.]],[[18.50388798]],[[6.26135124]],[[0.]],[[0.]]
13,0,61.0,42.0,19.0,0.0,0.0,[[61.]],[[42.]],[[19.]],[[0.]],[[0.]],[[0.]],[[19.56060471]],[[6.26135124]],[[0.]],[[0.]]
14,0,63.0,43.0,20.0,0.0,0.0,[[63.]],[[43.]],[[20.]],[[0.]],[[0.]],[[0.]],[[20.36613606]],[[6.42106118]],[[0.]],[[0.]]
15,0,65.0,42.0,23.0,0.0,0.0,[[65.]],[[42.]],[[23.]],[[0.]],[[0.]],[[0.]],[[20.75706901]],[[6.87746218]],[[0.]],[[0.]]
16,0,67.0,43.0,24.0,0.0,0.0,[[67.]],[[43.]],[[24.]],[[0.]],[[0.]],[[0.]],[[21.51744576]],[[7.02286465]],[[0.]],[[0.]]
17,0,67.0,43.0,24.0,0.0,0.0,[[67.]],[[43.]],[[24.]],[[0.]],[[0.]],[[0.]],[[22.43139668]],[[7.02286465]],[[0.]],[[0.]]
18,0,69.0,44.0,25.0,0.0,0.0,[[69.]],[[44.]],[[25.]],[[0.]],[[0.]],[[0.]],[[23.13637428]],[[7.16525669]],[[0.]],[[0.]]
19,0,71.0,46.0,25.0,0.0,0.0,[[71.]],[[46.]],[[25.]],[[0.]],[[0.]],[[0.]],[[23.98826743]],[[7.16525669]],[[0.]],[[0.]]
20,0,73.0,47.0,26.0,0.0,0.0,[[73.]],[[47.]],[[26.]],[[0.]],[[0.]],[[0.]],[[24.64844701]],[[7.30481903]],[[0.]],[[0.]]
21,0,74.0,46.0,28.0,0.0,0.0,[[74.]],[[46.]],[[28.]],[[0.]],[[0.]],[[0.]],[[25.13212934]],[[7.57609259]],[[0.]],[[0.]]
22,0,71.0,45.0,26.0,0.0,0.0,[[71.]],[[45.]],[[26.]],[[0.]],[[0.]],[[0.]],[[25.76282934]],[[7.70808675]],[[0.]],[[0.]]
23,0,68.0,44.0,24.0,0.0,0.0,[[68.]],[[44.]],[[24.]],[[0.]],[[0.]],[[0.]],[[26.37836425]],[[7.83782063]],[[0.]],[[0.]]
