,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[1.]],[[0.]],[[0.]]
2,0,10.0,6.0,4.0,0.0,0.0,[[10.]],[[6.]],[[4.]],[[0.]],[[0.]],[[0.]],[[5.11365888]],[[2.9]],[[0.]],[[0.]]
3,0,15.0,9.0,6.0,0.0,0.0,[[15.]],[[9.]],[[6.]],[[0.]],[[0.]],[[0.]],[[6.20891607]],[[3.55301037]],[[0.]],[[0.]]
4,0,20.0,13.0,7.0,0.0,0.0,[[20.]],[[13.]],[[7.]],[[0.]],[[0.]],[[0.]],[[7.41029204]],[[3.83446184]],[[0.]],[[0.]]
5,0,25.0,17.0,8.0,0.0,0.0,[[25.]],[[17.]],[[8.]],[[0.]],[[0.]],[[0.]],[[8.43659418]],[[4.09525463]],[[0.]],[[0.]]
6,0,30.0,19.0,11.0,0.0,0.0,[[30.]],[[19.]],[[11.]],[[0.]],[[0.]],[[0.]],[[8.90423992]],[[4.78870812]],[[0.]],[[0.]]
7,0,35.0,22.0,13.0,0.0,0.0,[[35.]],[[22.]],[[13.]],[[0.]],[[0.]],[[0.]],[[9.56188855]],[[5.19763145]],[[0.]],[[0.]]
8,0,40.0,25.0,15.0,0.0,0.0,[[40.]],[[25.]],[[15.]],[[0.]],[[0.]],[[0.]],[[10.17622491]],[[5.57555461]],[[0.]],[[0.]]
9,0,45.0,26.0,19.0,0.0,0.0,[[45.]],[[26.]],[[19.]],[[0.]],[[0.]],[[0.]],[[10.37276145]],[[6.26135124]],[[0.]],[[0.]]
10,0,50.0,29.0,21.0,0.0,0.0,[[50.]],[[29.]],[[21.]],[[0.]],[[0.]],[[0.]],[[10.94083045]],[[6.57679868]],[[0.]],[[0.]]
11,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[10.94083045]],[[6.57679868]],[[0.]],[[0.]]
12,1,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[11.48036677]],[[6.87746218]],[[0.]],[[0.]]
13,1,10.0,5.0,5.0,0.0,0.0,[[10.]],[[5.]],[[5.]],[[0.]],[[0.]],[[0.]],[[11.82618363]],[[7.30481903]],[[0.]],[[0.]]
14,1,15.0,8.0,7.0,0.0,0.0,[[15.]],[[8.]],[[7.]],[[0.]],[[0.]],[[0.]],[[12.32647808]],[[7.57609259]],[[0.]],[[0.]]
15,1,20.0,10.0,10.0,0.0,0.0,[[20.]],[[10.]],[[10.]],[[0.]],[[0.]],[[0.]],[[12.6488748]],[[7.96540712]],[[0.]],[[0.]]
16,1,25.0,13.0,12.0,0.0,0.0,[[25.]],[[13.]],[[12.]],[[0.]],[[0.]],[[0.]],[[13.11743975]],[[8.21454486]],[[0.]],[[0.]]
17,1,30.0,15.0,15.0,0.0,0.0,[[30.]],[[15.]],[[15.]],[[0.]],[[0.]],[[0.]],[[13.42062546]],[[8.57449363]],[[0.]],[[0.]]
18,1,35.0,20.0,15.0,0.0,0.0,[[35.]],[[20.]],[[15.]],[[0.]],[[0.]],[[0.]],[[14.1498968]],[[8.57449363]],[[0.]],[[0.]]
19,1,40.0,23.0,17.0,0.0,0.0,[[40.]],[[23.]],[[17.]],[[0.]],[[0.]],[[0.]],[[14.5697752]],[[8.80617858]],[[0.]],[[0.]]
20,1,45.0,26.0,19.0,0.0,0.0,[[45.]],[[26.]],[[19.]],[[0.]],[[0.]],[[0.]],[[14.97777825]],[[9.03184616]],[[0.]],[[0.]]
21,1,50.0,30.0,20.0,0.0,0.0,[[50.]],[[30.]],[[20.]],[[0.]],[[0.]],[[0.]],[[15.50494515]],[[9.1425655]],[[0.]],[[0.]]
22,1,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[15.50494515]],[[9.1425655]],[[0.]],[[0.]]
23,2,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[16.01462686]],[[9.25194399]],[[0.]],[[0.]]
24,2,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[16.50845982]],[[9.36002938]],[[0.]],[[0.]]
25,2,15.0,10.0,5.0,0.0,0.0,[[15.]],[[10.]],[[5.]],[[0.]],[[0.]],[[0.]],[[16.74987723]],[[9.67696416]],[[0.]],[[0.]]
26,2,20.0,14.0,6.0,0.0,0.0,[[20.]],[[14.]],[[6.]],[[0.]],[[0.]],[[0.]],[[17.22249203]],[[9.78030236]],[[0.]],[[0.]]
27,2,25.0,17.0,8.0,0.0,0.0,[[25.]],[[17.]],[[8.]],[[0.]],[[0.]],[[0.]],[[17.5685558]],[[9.98373716]],[[0.]],[[0.]]
28,2,30.0,19.0,11.0,0.0,0.0,[[30.]],[[19.]],[[11.]],[[0.]],[[0.]],[[0.]],[[17.7955024]],[[10.28127026]],[[0.]],[[0.]]
29,2,35.0,23.0,12.0,0.0,0.0,[[35.]],[[23.]],[[12.]],[[0.]],[[0.]],[[0.]],[[18.24087435]],[[10.37853451]],[[0.]],[[0.]]
30,2,40.0,25.0,15.0,0.0,0.0,[[40.]],[[25.]],[[15.]],[[0.]],[[0.]],[[0.]],[[18.45950697]],[[10.66495786]],[[0.]],[[0.]]
31,2,45.0,29.0,16.0,0.0,0.0,[[45.]],[[29.]],[[16.]],[[0.]],[[0.]],[[0.]],[[18.88913828]],[[10.75872288]],[[0.]],[[0.]]
32,2,50.0,32.0,18.0,0.0,0.0,[[50.]],[[32.]],[[18.]],[[0.]],[[0.]],[[0.]],[[19.20502034]],[[10.94382242]],[[0.]],[[0.]]
33,2,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[19.20502034]],[[10.94382242]],[[0.]],[[0.]]
34,3,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[19.61824396]],[[11.03519818]],[[0.]],[[0.]]
35,3,10.0,7.0,3.0,0.0,0.0,[[10.]],[[7.]],[[3.]],[[0.]],[[0.]],[[0.]],[[19.92250877]],[[11.21569834]],[[0.]],[[0.]]
36,3,15.0,10.0,5.0,0.0,0.0,[[15.]],[[10.]],[[5.]],[[0.]],[[0.]],[[0.]],[[20.22217321]],[[11.39331662]],[[0.]],[[0.]]
37,3,20.0,13.0,7.0,0.0,0.0,[[20.]],[[13.]],[[7.]],[[0.]],[[0.]],[[0.]],[[20.51744016]],[[11.56818714]],[[0.]],[[0.]]
38,3,25.0,16.0,9.0,0.0,0.0,[[25.]],[[16.]],[[9.]],[[0.]],[[0.]],[[0.]],[[20.808498]],[[11.74043391]],[[0.]],[[0.]]
39,3,30.0,17.0,13.0,0.0,0.0,[[30.]],[[17.]],[[13.]],[[0.]],[[0.]],[[0.]],[[20.90461258]],[[12.07750781]],[[0.]],[[0.]]
40,3,35.0,21.0,14.0,0.0,0.0,[[35.]],[[21.]],[[14.]],[[0.]],[[0.]],[[0.]],[[21.28471158]],[[12.16030635]],[[0.]],[[0.]]
41,3,40.0,24.0,16.0,0.0,0.0,[[40.]],[[24.]],[[16.]],[[0.]],[[0.]],[[0.]],[[21.56537048]],[[12.32422351]],[[0.]],[[0.]]
42,3,45.0,27.0,18.0,0.0,0.0,[[45.]],[[27.]],[[18.]],[[0.]],[[0.]],[[0.]],[[21.842408]],[[12.48597481]],[[0.]],[[0.]]
43,3,50.0,30.0,20.0,0.0,0.0,[[50.]],[[30.]],[[20.]],[[0.]],[[0.]],[[0.]],[[22.11596101]],[[12.64564408]],[[0.]],[[0.]]
44,3,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[22.11596101]],[[12.64564408]],[[0.]],[[0.]]
45,4,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[22.47549886]],[[12.72472269]],[[0.]],[[0.]]
46,4,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[22.82935287]],[[12.80330987]],[[0.]],[[0.]]
47,4,15.0,13.0,2.0,0.0,0.0,[[15.]],[[13.]],[[2.]],[[0.]],[[0.]],[[0.]],[[23.26407424]],[[12.80330987]],[[0.]],[[0.]]
48,4,20.0,17.0,3.0,0.0,0.0,[[20.]],[[17.]],[[3.]],[[0.]],[[0.]],[[0.]],[[23.60606682]],[[12.88141467]],[[0.]],[[0.]]
49,4,25.0,20.0,5.0,0.0,0.0,[[25.]],[[20.]],[[5.]],[[0.]],[[0.]],[[0.]],[[23.85933302]],[[13.03621207]],[[0.]],[[0.]]
50,4,30.0,23.0,7.0,0.0,0.0,[[30.]],[[23.]],[[7.]],[[0.]],[[0.]],[[0.]],[[24.10992959]],[[13.18918213]],[[0.]],[[0.]]
51,4,35.0,27.0,8.0,0.0,0.0,[[35.]],[[27.]],[[8.]],[[0.]],[[0.]],[[0.]],[[24.44004808]],[[13.26500184]],[[0.]],[[0.]]
52,4,40.0,31.0,9.0,0.0,0.0,[[40.]],[[31.]],[[9.]],[[0.]],[[0.]],[[0.]],[[24.76575198]],[[13.34038818]],[[0.]],[[0.]]
53,4,45.0,36.0,9.0,0.0,0.0,[[45.]],[[36.]],[[9.]],[[0.]],[[0.]],[[0.]],[[25.16693588]],[[13.34038818]],[[0.]],[[0.]]
54,4,50.0,39.0,11.0,0.0,0.0,[[50.]],[[39.]],[[11.]],[[0.]],[[0.]],[[0.]],[[25.40459582]],[[13.48989001]],[[0.]],[[0.]]
55,4,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[25.40459582]],[[13.48989001]],[[0.]],[[0.]]
56,5,5.0,2.0,3.0,0.0,0.0,[[5.]],[[2.]],[[3.]],[[0.]],[[0.]],[[0.]],[[25.56180444]],[[13.71106996]],[[0.]],[[0.]]
57,5,10.0,6.0,4.0,0.0,0.0,[[10.]],[[6.]],[[4.]],[[0.]],[[0.]],[[0.]],[[25.87334751]],[[13.78400373]],[[0.]],[[0.]]
58,5,15.0,9.0,6.0,0.0,0.0,[[15.]],[[9.]],[[6.]],[[0.]],[[0.]],[[0.]],[[26.10455766]],[[13.92871962]],[[0.]],[[0.]]
59,5,20.0,10.0,10.0,0.0,0.0,[[20.]],[[10.]],[[10.]],[[0.]],[[0.]],[[0.]],[[26.18117264]],[[14.21370943]],[[0.]],[[0.]]
60,5,25.0,13.0,12.0,0.0,0.0,[[25.]],[[13.]],[[12.]],[[0.]],[[0.]],[[0.]],[[26.40968016]],[[14.35407213]],[[0.]],[[0.]]
61,5,30.0,16.0,14.0,0.0,0.0,[[30.]],[[16.]],[[14.]],[[0.]],[[0.]],[[0.]],[[26.63622183]],[[14.49306892]],[[0.]],[[0.]]
62,5,35.0,19.0,16.0,0.0,0.0,[[35.]],[[19.]],[[16.]],[[0.]],[[0.]],[[0.]],[[26.86084757]],[[14.63073899]],[[0.]],[[0.]]
63,5,40.0,23.0,17.0,0.0,0.0,[[40.]],[[23.]],[[17.]],[[0.]],[[0.]],[[0.]],[[27.15745065]],[[14.69908824]],[[0.]],[[0.]]
64,5,45.0,26.0,19.0,0.0,0.0,[[45.]],[[26.]],[[19.]],[[0.]],[[0.]],[[0.]],[[27.3777886]],[[14.83483768]],[[0.]],[[0.]]
65,5,50.0,30.0,20.0,0.0,0.0,[[50.]],[[30.]],[[20.]],[[0.]],[[0.]],[[0.]],[[27.66883601]],[[14.90224657]],[[0.]],[[0.]]
66,5,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[27.66883601]],[[14.90224657]],[[0.]],[[0.]]
67,6,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[27.88512291]],[[15.03615371]],[[0.]],[[0.]]
68,6,10.0,7.0,3.0,0.0,0.0,[[10.]],[[7.]],[[3.]],[[0.]],[[0.]],[[0.]],[[28.17091584]],[[15.10266008]],[[0.]],[[0.]]
69,6,15.0,8.0,7.0,0.0,0.0,[[15.]],[[8.]],[[7.]],[[0.]],[[0.]],[[0.]],[[28.24191104]],[[15.36579487]],[[0.]],[[0.]]
70,6,20.0,11.0,9.0,0.0,0.0,[[20.]],[[11.]],[[9.]],[[0.]],[[0.]],[[0.]],[[28.45383119]],[[15.49567963]],[[0.]],[[0.]]
71,6,25.0,15.0,10.0,0.0,0.0,[[25.]],[[15.]],[[10.]],[[0.]],[[0.]],[[0.]],[[28.73395425]],[[15.56021374]],[[0.]],[[0.]]
72,6,30.0,17.0,13.0,0.0,0.0,[[30.]],[[17.]],[[13.]],[[0.]],[[0.]],[[0.]],[[28.87299418]],[[15.75222337]],[[0.]],[[0.]]
73,6,35.0,20.0,15.0,0.0,0.0,[[35.]],[[20.]],[[15.]],[[0.]],[[0.]],[[0.]],[[29.08030465]],[[15.87893476]],[[0.]],[[0.]]
74,6,40.0,22.0,18.0,0.0,0.0,[[40.]],[[22.]],[[18.]],[[0.]],[[0.]],[[0.]],[[29.21769253]],[[16.06712089]],[[0.]],[[0.]]
75,6,45.0,26.0,19.0,0.0,0.0,[[45.]],[[26.]],[[19.]],[[0.]],[[0.]],[[0.]],[[29.49054372]],[[16.1293598]],[[0.]],[[0.]]
76,6,50.0,29.0,21.0,0.0,0.0,[[50.]],[[29.]],[[21.]],[[0.]],[[0.]],[[0.]],[[29.69353303]],[[16.25311988]],[[0.]],[[0.]]
77,6,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[29.69353303]],[[16.25311988]],[[0.]],[[0.]]
78,7,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[29.89514095]],[[16.37594114]],[[0.]],[[0.]]
