,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[3.66666667]],[[2.]],[[0.]],[[0.]]
2,0,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[5.86808965]],[[2.]],[[0.]],[[0.]]
3,0,15.0,12.0,3.0,0.0,0.0,[[15.]],[[12.]],[[3.]],[[0.]],[[0.]],[[0.]],[[7.12977841]],[[2.5]],[[0.]],[[0.]]
4,0,20.0,14.0,6.0,0.0,0.0,[[20.]],[[14.]],[[6.]],[[0.]],[[0.]],[[0.]],[[7.68018693]],[[3.55301037]],[[0.]],[[0.]]
5,0,25.0,18.0,7.0,0.0,0.0,[[25.]],[[18.]],[[7.]],[[0.]],[[0.]],[[0.]],[[8.67365666]],[[3.83446184]],[[0.]],[[0.]]
6,0,30.0,20.0,10.0,0.0,0.0,[[30.]],[[20.]],[[10.]],[[0.]],[[0.]],[[0.]],[[9.12885202]],[[4.56988419]],[[0.]],[[0.]]
7,0,35.0,24.0,11.0,0.0,0.0,[[35.]],[[24.]],[[11.]],[[0.]],[[0.]],[[0.]],[[9.9757385]],[[4.78870812]],[[0.]],[[0.]]
8,0,40.0,28.0,12.0,0.0,0.0,[[40.]],[[28.]],[[12.]],[[0.]],[[0.]],[[0.]],[[10.75486815]],[[4.9975327]],[[0.]],[[0.]]
9,0,45.0,29.0,16.0,0.0,0.0,[[45.]],[[29.]],[[16.]],[[0.]],[[0.]],[[0.]],[[10.94083045]],[[5.75490896]],[[0.]],[[0.]]
10,0,50.0,31.0,19.0,0.0,0.0,[[50.]],[[31.]],[[19.]],[[0.]],[[0.]],[[0.]],[[11.30342932]],[[6.26135124]],[[0.]],[[0.]]
11,0,55.0,34.0,21.0,0.0,0.0,[[55.]],[[34.]],[[21.]],[[0.]],[[0.]],[[0.]],[[11.82618363]],[[6.57679868]],[[0.]],[[0.]]
12,0,57.0,34.0,23.0,0.0,0.0,[[57.]],[[34.]],[[23.]],[[0.]],[[0.]],[[0.]],[[12.32647808]],[[6.87746218]],[[0.]],[[0.]]
13,0,57.0,32.0,25.0,0.0,0.0,[[57.]],[[32.]],[[25.]],[[0.]],[[0.]],[[0.]],[[12.80699163]],[[7.16525669]],[[0.]],[[0.]]
14,0,58.0,31.0,27.0,0.0,0.0,[[58.]],[[31.]],[[27.]],[[0.]],[[0.]],[[0.]],[[13.26990852]],[[7.44171496]],[[0.]],[[0.]]
15,0,61.0,32.0,29.0,0.0,0.0,[[61.]],[[32.]],[[29.]],[[0.]],[[0.]],[[0.]],[[13.71703755]],[[7.70808675]],[[0.]],[[0.]]
16,0,62.0,32.0,30.0,0.0,0.0,[[62.]],[[32.]],[[30.]],[[0.]],[[0.]],[[0.]],[[14.29124059]],[[7.83782063]],[[0.]],[[0.]]
17,0,65.0,34.0,31.0,0.0,0.0,[[65.]],[[34.]],[[31.]],[[0.]],[[0.]],[[0.]],[[14.84303492]],[[7.96540712]],[[0.]],[[0.]]
18,0,66.0,34.0,32.0,0.0,0.0,[[66.]],[[34.]],[[32.]],[[0.]],[[0.]],[[0.]],[[15.37486269]],[[8.09094998]],[[0.]],[[0.]]
19,0,67.0,34.0,33.0,0.0,0.0,[[67.]],[[34.]],[[33.]],[[0.]],[[0.]],[[0.]],[[15.88875164]],[[8.21454486]],[[0.]],[[0.]]
20,0,71.0,36.0,35.0,0.0,0.0,[[71.]],[[36.]],[[35.]],[[0.]],[[0.]],[[0.]],[[16.26343217]],[[8.45623773]],[[0.]],[[0.]]
21,0,74.0,37.0,37.0,0.0,0.0,[[74.]],[[37.]],[[37.]],[[0.]],[[0.]],[[0.]],[[16.62960982]],[[8.69111859]],[[0.]],[[0.]]
22,0,74.0,38.0,36.0,0.0,0.0,[[74.]],[[38.]],[[36.]],[[0.]],[[0.]],[[0.]],[[17.10557106]],[[8.80617858]],[[0.]],[[0.]]
23,0,76.0,39.0,37.0,0.0,0.0,[[76.]],[[39.]],[[37.]],[[0.]],[[0.]],[[0.]],[[17.5685558]],[[8.91973521]],[[0.]],[[0.]]
24,0,77.0,39.0,38.0,0.0,0.0,[[77.]],[[39.]],[[38.]],[[0.]],[[0.]],[[0.]],[[17.90789035]],[[9.1425655]],[[0.]],[[0.]]
25,0,76.0,40.0,36.0,0.0,0.0,[[76.]],[[40.]],[[36.]],[[0.]],[[0.]],[[0.]],[[18.35051822]],[[9.25194399]],[[0.]],[[0.]]
26,0,77.0,40.0,37.0,0.0,0.0,[[77.]],[[40.]],[[37.]],[[0.]],[[0.]],[[0.]],[[18.67556527]],[[9.46686665]],[[0.]],[[0.]]
27,0,75.0,41.0,34.0,0.0,0.0,[[75.]],[[41.]],[[34.]],[[0.]],[[0.]],[[0.]],[[19.20502034]],[[9.46686665]],[[0.]],[[0.]]
28,0,75.0,42.0,33.0,0.0,0.0,[[75.]],[[42.]],[[33.]],[[0.]],[[0.]],[[0.]],[[19.72018989]],[[9.46686665]],[[0.]],[[0.]]
29,0,75.0,41.0,34.0,0.0,0.0,[[75.]],[[41.]],[[34.]],[[0.]],[[0.]],[[0.]],[[20.02289774]],[[9.67696416]],[[0.]],[[0.]]
30,0,72.0,39.0,33.0,0.0,0.0,[[72.]],[[39.]],[[33.]],[[0.]],[[0.]],[[0.]],[[20.22217321]],[[9.98373716]],[[0.]],[[0.]]
31,0,71.0,39.0,32.0,0.0,0.0,[[71.]],[[39.]],[[32.]],[[0.]],[[0.]],[[0.]],[[20.51744016]],[[10.18306803]],[[0.]],[[0.]]
32,0,71.0,40.0,31.0,0.0,0.0,[[71.]],[[40.]],[[31.]],[[0.]],[[0.]],[[0.]],[[20.90461258]],[[10.28127026]],[[0.]],[[0.]]
33,0,70.0,39.0,31.0,0.0,0.0,[[70.]],[[39.]],[[31.]],[[0.]],[[0.]],[[0.]],[[21.1903289]],[[10.47488722]],[[0.]],[[0.]]
34,0,69.0,38.0,31.0,0.0,0.0,[[69.]],[[38.]],[[31.]],[[0.]],[[0.]],[[0.]],[[21.4722269]],[[10.66495786]],[[0.]],[[0.]]
35,0,69.0,39.0,30.0,0.0,0.0,[[69.]],[[39.]],[[30.]],[[0.]],[[0.]],[[0.]],[[21.842408]],[[10.75872288]],[[0.]],[[0.]]
36,0,68.0,38.0,30.0,0.0,0.0,[[68.]],[[38.]],[[30.]],[[0.]],[[0.]],[[0.]],[[22.11596101]],[[10.94382242]],[[0.]],[[0.]]
37,0,69.0,36.0,33.0,0.0,0.0,[[69.]],[[36.]],[[33.]],[[0.]],[[0.]],[[0.]],[[22.20639344]],[[11.30485908]],[[0.]],[[0.]]
38,0,68.0,34.0,34.0,0.0,0.0,[[68.]],[[34.]],[[34.]],[[0.]],[[0.]],[[0.]],[[22.47549886]],[[11.48108737]],[[0.]],[[0.]]
39,0,67.0,31.0,36.0,0.0,0.0,[[67.]],[[31.]],[[36.]],[[0.]],[[0.]],[[0.]],[[22.65311951]],[[11.74043391]],[[0.]],[[0.]]
40,0,68.0,33.0,35.0,0.0,0.0,[[68.]],[[33.]],[[35.]],[[0.]],[[0.]],[[0.]],[[23.09117153]],[[11.74043391]],[[0.]],[[0.]]
41,0,69.0,36.0,33.0,0.0,0.0,[[69.]],[[36.]],[[33.]],[[0.]],[[0.]],[[0.]],[[23.52103655]],[[11.74043391]],[[0.]],[[0.]]
42,0,69.0,36.0,33.0,0.0,0.0,[[69.]],[[36.]],[[33.]],[[0.]],[[0.]],[[0.]],[[23.77521179]],[[11.91017187]],[[0.]],[[0.]]
43,0,69.0,37.0,32.0,0.0,0.0,[[69.]],[[37.]],[[32.]],[[0.]],[[0.]],[[0.]],[[24.19288297]],[[11.91017187]],[[0.]],[[0.]]
44,0,70.0,38.0,32.0,0.0,0.0,[[70.]],[[38.]],[[32.]],[[0.]],[[0.]],[[0.]],[[24.52188098]],[[11.99413372]],[[0.]],[[0.]]
45,0,70.0,39.0,31.0,0.0,0.0,[[70.]],[[39.]],[[31.]],[[0.]],[[0.]],[[0.]],[[24.84650866]],[[12.07750781]],[[0.]],[[0.]]
46,0,70.0,38.0,32.0,0.0,0.0,[[70.]],[[38.]],[[32.]],[[0.]],[[0.]],[[0.]],[[25.08721399]],[[12.24254112]],[[0.]],[[0.]]
47,0,70.0,38.0,32.0,0.0,0.0,[[70.]],[[38.]],[[32.]],[[0.]],[[0.]],[[0.]],[[25.32562442]],[[12.40536452]],[[0.]],[[0.]]
